row;outline_level;thema;original_text;page_id;slug
3542;3;EmployeeEdit-Verbundener Benutzer;Eingabefeld für: Verbundener Benutzer.;;
3549;3;EmployeeEdit-Farbe auswählen;Eingabefeld für: Farbe auswählen.;;
3569;3;EmployeeVacationEntitlementEdit-EmployeeVacationEntitlementHistoryTableDetail;EmployeeVacationEntitlementHistoryTableDetail;;
3578;3;EmployeeVacationEntitlementEdit-EmployeeVacationRequestApprovalEdit;EmployeeVacationRequestApprovalEdit;;
3591;3;EmployeeVacationRequestEdit-Genehmigungen;Approvals;;
3596;3;EmployeeVacationYearEdit-Partner;Partner;;
3724;3;PartnerEdit-Rabattgruppe;Gruppe zur Steuerung von Rabatten.;;
3754;3;PartnerContactPersonEdit-Anhänge;Attachments;;
3755;3;PartnerContactPersonEdit-Neuer Matchcode;Codeschlüssel zur Klassifizierung.;;
3757;3;PartnerDeliveryAddressEdit-Neuer Matchcode;Codeschlüssel zur Klassifizierung.;;
3786;3;PartnerDeliveryAddressEdit-PartnerDetailHistoryDetail;PartnerDetailHistoryDetail;;
3813;3;PartnerBillingAddressEdit-Neuer Matchcode;Codeschlüssel zur Klassifizierung.;;
3888;3;PartnerGroupEdit-PartnerHistoryDetail;PartnerHistoryDetail;;
3963;3;PartnerTermsOfPaymentEdit-Plugin;Plugin;;
3976;3;PartnerTermsOfPaymentEdit-ImportPlugin;ImportPlugin;;
3977;3;PartnerTermsOfPaymentEdit-Produktion;Production;;
3985;3;PartnerDetailOutputEdit-PartnerDetailSelect;PartnerDetailSelect;;
3991;3;PartnerDetailOutputEdit-Partner Detail Number;Eingabefeld für: Partner Detail Number.;;
3992;3;PartnerDetailOutputEdit-Partnertyp;Art des Partners (z. B. Kunde/Lieferant).;;
4006;3;PartnerSetFirstPartnerNumber-Laufende Nummer;Eindeutige Nummer.;;
4007;3;PartnerSetFirstPartnerNumber-Erste Partnernummer;Eindeutige Nummer.;;
4009;3;PartnerSetFirstCustomerNumber-Laufende Nummer;Eindeutige Nummer.;;
4010;3;PartnerSetFirstCustomerNumber-Erste Kundennummer;Eindeutige Nummer.;;
4012;3;PartnerSetFirstSupplierNumber-Laufende Nummer;Eindeutige Nummer.;;
4013;3;PartnerSetFirstSupplierNumber-Erste Lieferantennummer;Eindeutige Nummer.;;
4017;3;ProductionEdit_Overview-Laufzeit (Tage);Eingabefeld für: Laufzeit (Tage).;;
4022;3;ProductionEdit_Overview-Laufzeit (Stunden);Eingabefeld für: Laufzeit (Stunden).;;
4023;3;ProductionEdit_Overview-Laufzeit (Minuten);Eingabefeld für: Laufzeit (Minuten).;;
4024;3;ProductionEdit_Overview-Produktionsstart;Eingabefeld für: Produktionsstart.;;
4025;3;ProductionEdit_Overview-Produktionsende;Eingabefeld für: Produktionsende.;;
4026;3;ProductionEdit_Overview-Auftragsbestätigung;Eingabefeld für: Auftragsbestätigung.;;
4027;3;ProductionEdit_Overview-AB-Position;Eingabefeld für: AB-Position.;;
4028;3;ProductionEdit_Overview-Liefertermin;Eingabefeld für: Liefertermin.;;
4029;3;ProductionEdit_Overview-Produktionslager;Lagerbezogene Angabe.;;
4030;3;ProductionEdit_Overview-ProductionEdit_Picture;ProductionEdit_Picture;;
4033;3;ProductionSetFirstNumber-Erste Produktionsnummer;Eindeutige Nummer.;;
4034;3;ProductionSetFirstNumber-Projekt;Project;;
4036;3;ProductionDataAcquisitionEdit-Anhänge;ProductionDataAcquisition-Attachments;;
4144;3;ProjectEdit-Dok-Nummer;Nummer des Dokuments.;;
4145;3;ProjectEdit-Dok-Datum;Datum des Dokuments.;;
4146;3;ProjectEdit-Partner;Zugeordneter Geschäftspartner.;;
4147;3;ProjectEdit-Artikel;Zugeordneter Artikel.;;
4148;3;ProjectEdit-Menge;Mengenangabe.;;
4149;3;ProjectEdit-Menge offen;Mengenangabe.;;
4150;3;ProjectEdit-Preis;Preisangabe.;;
4151;3;ProjectEdit-Gesamtpreis;Preisangabe.;;
4152;3;ProjectEdit-Umsatz;Eingabefeld für: Umsatz.;;
4153;3;ProjectEdit-Report-Designer;Report Designer;;
4156;3;Report-Designer-Ressource;Resource;;
4158;3;ReportTemplateEdit-Benutzer und Rollen;;;
4202;3;ResourceGroupEdit-Support-Einstellungen;Support Settings;;
4207;3;SupportSettingEdit-System;System;;
4234;3;SystemViewEdit-Textblock;Text Block;;
4275;3;PhoneCallEdit-Up;Follow-Up;;
4276;3;PhoneCallEdit-fill;xhtml-fill;;
4339;3;TextVariableEdit-Versand;Shipping;;
4364;3;TranslationArticleUoMEdit-Ausgabesteuerung;Output Control;;
4368;3;TranslationArticleUoMEdit-OutputControlEmail;OutputControlEmail;;
4390;3;ShippingZoneEdit-Wiki;Wiki;;
4395;3;WebshopSettingEdit-Reportvorlagen;;;
4470;3;WikiStatusEdit-Zeiterfassung;Time Tracking;;
